id,title,description,property_type,bedrooms,bathrooms,price_per_night,square_feet,amenities,city,state,zipcode,country,occupancy_max,rating,reviews_count,availability_start,availability_end,host_id,created_at
1634f9de-786c-4810-a552-604f378bc84b,5BR Loft in Miami,Spacious layout ideal for groups and longer stays.,Loft,5,5,727,2085,balcony;dryer;gym;kitchen;washer,Miami,FL,32520,USA,10,3.64,47,2025-11-23,2025-12-04,h_1434,2024-12-06T15:35:49
2a9e8a58-969c-46e4-8ce1-0a14cb3fde3d,3BR House in Somerville,Cozy retreat with fully equipped kitchen and workspace.,House,3,3,411,1284,dryer;fireplace;parking;pool;wheelchair_access,Somerville,MA,06552,USA,6,3.82,916,2025-11-02,2025-11-05,h_2519,2025-03-09T15:35:49
f8b59c5e-ed67-4d69-81d6-e6e35634bc5e,2BR Duplex in Fort Lauderdale,Quiet residential area with quick access to downtown attractions.,Duplex,2,2,245,722,ac;balcony;elevator;heating;kitchen;pet_friendly;pool;wheelchair_access,Fort Lauderdale,FL,32750,USA,4,4.53,597,2025-09-30,2025-10-05,h_2654,2025-03-09T15:35:49
684d1ee5-369a-4ce4-8223-53344dc3bed1,5BR Studio in Roswell,Charming home with a private garden and outdoor seating.,Studio,5,5,359,2527,dryer;fireplace;heating;kitchen;washer;wheelchair_access,Roswell,GA,32803,USA,10,4.35,59,2025-11-18,2025-11-26,h_5422,2024-10-27T15:35:49
5f189ec6-199c-4d52-b7c1-f45a699f2687,5BR Studio in Elizabeth,"Walkable location with shops, cafes, and nightlife nearby.",Studio,5,5,522,3389,ac;elevator;pet_friendly;pool;wifi,Elizabeth,NJ,08084,USA,10,3.9,889,2025-10-30,2025-11-04,h_9179,2025-03-01T15:35:49
baeb7d8b-5a3f-4d5b-9f2d-e6ff392a3875,2BR Townhouse in Cincinnati,High-rise unit with expansive city views and balcony.,Townhouse,2,2,152,987,ac;dryer;elevator;fireplace;gym;heating;kitchen;pet_friendly;pool,Cincinnati,OH,51085,USA,4,3.73,2,2025-10-04,2025-10-08,h_3621,2024-10-06T15:35:49
cc84fdcb-0121-4710-8ef7-31284250b696,Villa in Kalamazoo,"Walkable location with shops, cafes, and nightlife nearby.",Villa,0,1,62,589,balcony;elevator;fireplace;heating;kitchen;pet_friendly;washer;wheelchair_access;wifi,Kalamazoo,MI,55123,USA,2,3.82,0,2025-10-23,2025-11-02,h_3927,2025-01-03T15:35:49
cddd3068-9ebc-46b6-a11b-27be767e93bb,5BR Bungalow in St. Petersburg,Boutique-style decor with comfort-focused amenities.,Bungalow,5,5,746,2113,balcony;elevator;fireplace;gym;parking;wheelchair_access;wifi,St. Petersburg,FL,32319,USA,10,3.76,131,2025-10-29,2025-11-03,h_1949,2025-05-19T15:35:49
2586b003-b5e7-4015-a1d6-da4253d07b94,Cottage in St. Louis,Charming home with a private garden and outdoor seating.,Cottage,0,1,77,739,balcony;dryer;fireplace;garden;heating;parking;pet_friendly;washer;wheelchair_access,St. Louis,MO,69932,USA,2,4.95,862,2025-12-17,2025-12-22,h_6107,2025-02-27T15:35:49
d99b2f01-9a7d-4813-b0d3-e305ec8105f6,4BR Cottage in Cary,Charming home with a private garden and outdoor seating.,Cottage,4,4,279,1630,ac;balcony;elevator;gym;wifi,Cary,NC,30608,USA,8,3.61,501,2025-09-27,2025-10-02,h_2104,2025-09-03T15:35:49
fb0e82b4-14f5-477b-8ff8-8a5f9dde5deb,4BR House in Pittsburgh,Family-friendly neighborhood near parks and schools.,House,4,4,309,1897,balcony;dryer;fireplace;garden;gym;parking,Pittsburgh,PA,22749,USA,8,4.73,36,2025-10-02,2025-10-14,h_8062,2025-03-22T15:35:49
0fd66ac3-ecc8-4b35-8749-dc385c08e30b,3BR Apartment in Sterling Heights,Family-friendly neighborhood near parks and schools.,Apartment,3,3,289,1661,dryer;elevator;kitchen;pool;wifi,Sterling Heights,MI,51139,USA,6,3.87,201,2025-11-13,2025-11-17,h_5563,2025-01-26T15:35:49
62554855-3402-46e4-863c-b18be0ed683c,3BR Bungalow in Boulder,Spacious layout ideal for groups and longer stays.,Bungalow,3,3,330,1667,ac;balcony;fireplace;garden;kitchen;parking;pet_friendly;pool;wifi,Boulder,CO,80960,USA,6,3.83,0,2025-11-08,2025-11-14,h_8454,2025-04-26T15:35:49
f5e4d8b2-a74c-459e-8c8d-45b8c222eb3a,5BR Cottage in Dearborn,Sunny and modern space close to restaurants and public transport.,Cottage,5,5,357,2407,balcony;dryer;elevator;gym;wheelchair_access;wifi,Dearborn,MI,48821,USA,10,4.42,252,2025-11-26,2025-11-30,h_1931,2025-01-02T15:35:49
01a139b7-d806-45b8-a0ec-42da1a890b27,Duplex in Austin,Sunny and modern space close to restaurants and public transport.,Duplex,0,1,50,791,ac;fireplace;gym;kitchen;pool;washer,Austin,TX,76343,USA,2,4.19,340,2025-11-25,2025-12-02,h_5272,2025-06-07T15:35:49
40ba4896-288b-459c-9739-c02ca0c60628,2BR Villa in Erie,Quiet residential area with quick access to downtown attractions.,Villa,2,2,141,1030,dryer;elevator;fireplace;garden;kitchen;wheelchair_access;wifi,Erie,PA,23808,USA,4,3.9,70,2025-11-03,2025-11-06,h_5002,2025-03-14T15:35:49
53de42cd-b839-44c6-b981-d39790b4c3e1,3BR Bungalow in Tucson,Quiet residential area with quick access to downtown attractions.,Bungalow,3,3,293,1626,balcony;dryer;heating;kitchen;parking;pet_friendly;washer;wheelchair_access;wifi,Tucson,AZ,87546,USA,6,3.98,365,2025-11-02,2025-11-07,h_5325,2025-01-04T15:35:49
4d212ca1-02dc-4e98-bfbb-66688c9cb396,Condo in Bloomington,Boutique-style decor with comfort-focused amenities.,Condo,0,1,71,774,dryer;elevator;heating;parking;washer;wheelchair_access;wifi,Bloomington,MN,62007,USA,2,4.39,12,2025-12-17,2025-12-21,h_9938,2025-09-01T15:35:49
aaf2d8ee-5b8a-4b2c-b925-36dfefed10c1,4BR Townhouse in Chapel Hill,Cozy retreat with fully equipped kitchen and workspace.,Townhouse,4,4,339,1442,ac;elevator;fireplace;kitchen;washer;wheelchair_access;wifi,Chapel Hill,NC,33658,USA,8,4.96,561,2025-10-20,2025-10-24,h_3900,2025-02-20T15:35:49
7c995654-35d8-4cb4-88eb-41460a7536c6,5BR Studio in San Diego,Sunny and modern space close to restaurants and public transport.,Studio,5,5,812,2643,dryer;fireplace;heating;kitchen;parking;pool,San Diego,CA,97711,USA,10,3.91,666,2025-11-17,2025-11-24,h_6000,2025-05-26T15:35:49
eed15e98-39fb-4d84-80ed-d42764842e6c,5BR House in Denver,Spacious layout ideal for groups and longer stays.,House,5,5,665,2370,balcony;elevator;fireplace;heating;washer,Denver,CO,88785,USA,10,4.06,0,2025-10-23,2025-10-27,h_5349,2025-08-31T15:35:49
789272a8-a4f1-4962-ac79-83f8fd190627,3BR Studio in Naples,Spacious layout ideal for groups and longer stays.,Studio,3,3,475,1321,ac;balcony;gym;heating;kitchen;pool;wheelchair_access;wifi,Naples,FL,32027,USA,6,4.33,650,2025-12-16,2025-12-29,h_4228,2025-03-17T15:35:49
9c4deb49-81e9-4bad-95e2-a0a8bc73a6ab,5BR Studio in Grand Rapids,Spacious layout ideal for groups and longer stays.,Studio,5,5,470,3158,balcony;dryer;heating;pet_friendly;washer,Grand Rapids,MI,53344,USA,10,4.16,87,2025-10-06,2025-10-11,h_7888,2024-10-14T15:35:49
0591bed3-4e52-42b1-9b37-ec9c90f56b13,4BR Duplex in Richmond,Charming home with a private garden and outdoor seating.,Duplex,4,4,314,1961,ac;gym;heating;pool;wheelchair_access,Richmond,VA,27279,USA,8,4.25,195,2025-10-17,2025-10-27,h_8752,2025-06-25T15:35:49
4e2077a2-4ee4-4cb9-9b81-40ab84160bbe,4BR Duplex in Fort Worth,Sunny and modern space close to restaurants and public transport.,Duplex,4,4,320,2238,ac;fireplace;heating;parking;washer;wifi,Fort Worth,TX,79011,USA,8,4.98,373,2025-09-29,2025-10-08,h_7790,2024-11-01T15:35:49
bbb082c1-822c-4804-89e9-bae952527671,5BR Villa in Columbia,Renovated interior with open-plan living and natural light.,Villa,5,5,439,2299,ac;dryer;kitchen;pool;washer;wifi,Columbia,MO,71486,USA,10,4.25,310,2025-10-05,2025-10-14,h_3184,2025-01-25T15:35:49
bedb26a0-f554-408b-904e-2314f314dff1,4BR Studio in Corvallis,Boutique-style decor with comfort-focused amenities.,Studio,4,4,438,2312,balcony;dryer;fireplace;garden;gym;parking;pet_friendly;pool,Corvallis,OR,104373,USA,8,3.96,61,2025-12-10,2025-12-16,h_9540,2025-01-14T15:35:49
36710552-c829-4186-9186-0e414ce2c6ec,3BR Condo in Aurora,Spacious layout ideal for groups and longer stays.,Condo,3,3,472,1240,ac;balcony;elevator;kitchen;parking;washer;wheelchair_access,Aurora,CO,82503,USA,6,4.59,4,2025-11-11,2025-11-18,h_9890,2025-01-24T15:35:49
010dcc79-9ac8-46a3-a4bf-7089586ecff0,1BR Villa in Detroit,Spacious layout ideal for groups and longer stays.,Villa,1,1,83,744,dryer;elevator;fireplace;garden;gym;parking;pet_friendly;pool;wifi,Detroit,MI,54865,USA,2,4.35,539,2025-12-06,2025-12-11,h_8999,2025-05-30T15:35:49
860f9fa8-63af-4b87-84bc-c5788f1d2ad7,3BR Apartment in Alpharetta,Charming home with a private garden and outdoor seating.,Apartment,3,3,248,1684,balcony;dryer;garden;gym;parking;pet_friendly;pool;wifi,Alpharetta,GA,30444,USA,6,3.72,183,2025-11-18,2025-11-22,h_1823,2025-05-09T15:35:49
55448b33-dd00-403f-b50b-d69751d97012,1BR Cottage in Chesapeake,Cozy retreat with fully equipped kitchen and workspace.,Cottage,1,1,80,739,balcony;fireplace;garden;heating;kitchen;pool;wheelchair_access;wifi,Chesapeake,VA,25673,USA,2,4.51,610,2025-12-12,2025-12-14,h_1508,2025-05-16T15:35:49
74d511f9-08d8-428e-9589-962f0b285e2c,4BR Townhouse in Boston,Cozy retreat with fully equipped kitchen and workspace.,Townhouse,4,4,579,1884,ac;dryer;garden;gym;heating,Boston,MA,04749,USA,8,4.45,928,2025-10-04,2025-10-18,h_3683,2025-04-13T15:35:49
8b11c86a-f7b1-4dab-a79e-5d1fdff4f64b,Loft in Naples,Charming home with a private garden and outdoor seating.,Loft,0,1,110,542,ac;dryer;fireplace;gym;heating;kitchen;pet_friendly;washer,Naples,FL,33983,USA,2,4.71,320,2025-09-25,2025-10-02,h_9728,2025-02-12T15:35:49
9d8b6131-f788-4f5d-b6ca-8bdf2969c823,4BR Studio in Raleigh,High-rise unit with expansive city views and balcony.,Studio,4,4,258,1830,elevator;garden;gym;kitchen;parking;pet_friendly;pool;washer,Raleigh,NC,31425,USA,8,4.46,845,2025-11-20,2025-11-29,h_8136,2024-11-20T15:35:49
c93d571c-d144-4f08-b0aa-c147860524ba,1BR Condo in Athens,Cozy retreat with fully equipped kitchen and workspace.,Condo,1,1,77,580,fireplace;garden;gym;pool;washer;wheelchair_access,Athens,GA,30470,USA,2,4.29,105,2025-11-21,2025-11-26,h_6813,2025-05-10T15:35:49
55748bde-53d4-4429-95c3-0312ed2c27f8,4BR Loft in Reading,Family-friendly neighborhood near parks and schools.,Loft,4,4,363,1929,ac;balcony;dryer;garden;kitchen;pool,Reading,PA,22800,USA,8,4.5,240,2025-09-22,2025-09-25,h_5820,2025-05-29T15:35:49
75f4b340-4f72-4434-b160-1fc967651177,2BR Duplex in Arlington,"Walkable location with shops, cafes, and nightlife nearby.",Duplex,2,2,163,983,balcony;dryer;elevator;garden;heating;parking;pool;washer;wheelchair_access,Arlington,VA,25777,USA,4,3.77,37,2025-10-05,2025-10-18,h_9779,2024-10-01T15:35:49
31c56b17-f650-4e1b-b06a-afb7c5f17330,1BR Cottage in Bellevue,Sunny and modern space close to restaurants and public transport.,Cottage,1,1,124,651,ac;dryer;elevator;garden;gym;heating;kitchen;parking;pet_friendly,Bellevue,WA,106751,USA,2,3.78,2,2025-09-26,2025-10-06,h_5786,2024-09-27T15:35:49
8b59b0d0-2060-495d-bc1a-ba11c99175f0,Apartment in Elgin,Spacious layout ideal for groups and longer stays.,Apartment,0,1,69,590,balcony;elevator;garden;heating;kitchen;parking;wheelchair_access;wifi,Elgin,IL,68056,USA,2,3.7,396,2025-09-26,2025-09-30,h_3444,2024-12-05T15:35:49
206f696f-4742-4771-b5f2-4877085ab3ce,1BR Condo in Scottsdale,Charming home with a private garden and outdoor seating.,Condo,1,1,91,563,ac;balcony;fireplace;garden;gym;parking;pool;washer;wheelchair_access,Scottsdale,AZ,92025,USA,2,4.03,385,2025-12-07,2025-12-20,h_2625,2025-06-05T15:35:49
fa9503ad-e5d5-4075-8032-6fef77968373,5BR Condo in Lowell,Family-friendly neighborhood near parks and schools.,Condo,5,5,572,2155,fireplace;garden;gym;heating;kitchen;parking;pool;washer;wifi,Lowell,MA,06720,USA,10,4.59,494,2025-11-17,2025-11-20,h_4824,2025-05-07T15:35:49
e1c4d170-a779-420c-8ada-03f97f009fe7,3BR Condo in Columbia,"Walkable location with shops, cafes, and nightlife nearby.",Condo,3,3,270,1663,fireplace;heating;kitchen;parking;wheelchair_access;wifi,Columbia,MO,67728,USA,6,4.21,219,2025-10-28,2025-11-10,h_7594,2025-05-03T15:35:49
9814cc3a-441d-46f5-bdb9-5897a8c83c82,3BR Cottage in Corvallis,"Walkable location with shops, cafes, and nightlife nearby.",Cottage,3,3,204,1040,ac;dryer;elevator;gym;heating;kitchen;washer;wifi,Corvallis,OR,97659,USA,6,4.67,30,2025-11-25,2025-12-07,h_8245,2025-04-30T15:35:49
cabfde81-99b9-45bf-811e-8bb1031a260f,3BR Cottage in Olympia,Spacious layout ideal for groups and longer stays.,Cottage,3,3,530,1481,elevator;fireplace;kitchen;parking;pet_friendly;pool;washer,Olympia,WA,106117,USA,6,4.0,893,2025-11-29,2025-12-01,h_8451,2025-08-05T15:35:49
a4dff687-d13a-4b92-b9eb-3f1730dacd11,2BR Condo in Reading,Cozy retreat with fully equipped kitchen and workspace.,Condo,2,2,221,906,ac;balcony;garden;heating;pet_friendly;pool;washer;wheelchair_access;wifi,Reading,PA,23167,USA,4,4.48,577,2025-10-16,2025-10-22,h_9998,2025-07-14T15:35:49
ed78c7a7-0d84-4da3-a48f-e118e3fe9cbe,5BR Cottage in Gilbert,Family-friendly neighborhood near parks and schools.,Cottage,5,5,349,3090,ac;balcony;dryer;fireplace;gym;heating;parking;pool;wifi,Gilbert,AZ,86858,USA,10,4.25,13,2025-10-09,2025-10-18,h_5781,2025-01-02T15:35:49
bd8702b3-844b-4a8c-904b-0a4d52aba7f4,3BR Cottage in Alpharetta,"Walkable location with shops, cafes, and nightlife nearby.",Cottage,3,3,227,1564,ac;balcony;gym;kitchen;parking;pool,Alpharetta,GA,36798,USA,6,4.08,620,2025-10-24,2025-10-26,h_5634,2025-04-20T15:35:49
fe808973-73d9-4e80-85bc-2b9d6c51fe2a,5BR Cottage in Blue Springs,Family-friendly neighborhood near parks and schools.,Cottage,5,5,528,2714,balcony;dryer;elevator;fireplace;garden;gym;pet_friendly;pool;wheelchair_access,Blue Springs,MO,66912,USA,10,4.4,54,2025-11-11,2025-11-13,h_6213,2025-01-20T15:35:49
d6e61d32-b4c3-415d-adea-150e0f5457cf,5BR Townhouse in Newport News,High-rise unit with expansive city views and balcony.,Townhouse,5,5,439,1875,balcony;dryer;elevator;garden;gym;kitchen,Newport News,VA,29486,USA,10,3.62,20,2025-12-12,2025-12-16,h_2225,2025-01-22T15:35:49
8942b852-03b0-4508-be4d-8343c0bcdcf8,4BR Villa in Athens,Sunny and modern space close to restaurants and public transport.,Villa,4,4,381,2272,balcony;elevator;fireplace;garden;pet_friendly;pool;washer,Athens,GA,31121,USA,8,3.93,468,2025-10-26,2025-10-31,h_2480,2025-02-09T15:35:49
7884f447-7713-4e2c-a983-4c31b6aba559,3BR Townhouse in Orlando,Cozy retreat with fully equipped kitchen and workspace.,Townhouse,3,3,467,1029,elevator;fireplace;heating;wheelchair_access;wifi,Orlando,FL,39056,USA,6,3.8,282,2025-12-01,2025-12-13,h_3950,2025-06-24T15:35:49
cc8f2f16-35ba-4429-a3d1-131ad2153b03,4BR Villa in Spokane,Sunny and modern space close to restaurants and public transport.,Villa,4,4,600,1646,ac;garden;gym;heating;parking;pet_friendly;washer;wheelchair_access,Spokane,WA,105622,USA,8,4.86,459,2025-10-10,2025-10-13,h_8237,2025-03-27T15:35:49
70ffd6eb-095a-4f95-bb01-1056f6be79d2,5BR Villa in Independence,Charming home with a private garden and outdoor seating.,Villa,5,5,486,2735,ac;elevator;garden;kitchen;pet_friendly;pool;wheelchair_access,Independence,MO,67847,USA,10,4.99,87,2025-12-13,2025-12-21,h_5497,2025-09-15T15:35:49
26bfabc9-4a90-415d-8783-9eaddbe3c965,4BR Cottage in Kansas City,Charming home with a private garden and outdoor seating.,Cottage,4,4,416,2324,ac;dryer;elevator;fireplace;gym;pet_friendly;wheelchair_access,Kansas City,MO,67106,USA,8,4.55,519,2025-12-13,2025-12-25,h_3240,2024-11-02T15:35:49
8a4daa56-719a-449a-bd13-36f458f75201,2BR Cottage in Miami,Family-friendly neighborhood near parks and schools.,Cottage,2,2,252,886,dryer;elevator;heating;kitchen;parking;pool,Miami,FL,34165,USA,4,4.7,768,2025-11-05,2025-11-15,h_9221,2025-05-03T15:35:49
482ef8d4-7144-4944-97e5-71a945974cd7,3BR Loft in Everett,Spacious layout ideal for groups and longer stays.,Loft,3,3,479,1346,ac;garden;kitchen;parking;washer,Everett,WA,103992,USA,6,3.73,155,2025-10-23,2025-11-02,h_3024,2025-01-30T15:35:49
9e956e0c-8929-4d0f-9e2b-1c6d149e4893,4BR Villa in Winston-Salem,Cozy retreat with fully equipped kitchen and workspace.,Villa,4,4,414,2362,ac;balcony;garden;gym;kitchen;washer;wifi,Winston-Salem,NC,30626,USA,8,4.51,403,2025-11-18,2025-12-01,h_5951,2024-10-22T15:35:49
35a0445f-578f-408a-afdf-f856908abb0d,1BR Apartment in Grand Rapids,High-rise unit with expansive city views and balcony.,Apartment,1,1,109,505,ac;balcony;elevator;garden;kitchen;parking;pool;wheelchair_access,Grand Rapids,MI,54866,USA,2,4.42,527,2025-11-12,2025-11-24,h_2622,2025-01-12T15:35:49
a2b59f1a-75ff-4a01-87ca-fe0adacecc16,2BR Apartment in Murfreesboro,Sunny and modern space close to restaurants and public transport.,Apartment,2,2,194,811,ac;balcony;elevator;fireplace;garden;gym;kitchen;washer,Murfreesboro,TN,43523,USA,4,3.99,937,2025-11-17,2025-11-20,h_4475,2024-10-26T15:35:49
c188f14b-1608-4027-b801-9a8e745bb1b4,Studio in Nashville,Renovated interior with open-plan living and natural light.,Studio,0,1,57,414,ac;balcony;dryer;fireplace;gym;kitchen;parking;washer;wheelchair_access,Nashville,TN,37046,USA,2,3.99,968,2025-10-06,2025-10-16,h_5106,2025-06-22T15:35:49
d68efbe0-087e-4d86-9ed1-ccbe972dd484,1BR Apartment in Miami,Renovated interior with open-plan living and natural light.,Apartment,1,1,156,753,elevator;fireplace;gym;heating;parking;wifi,Miami,FL,38897,USA,2,4.34,556,2025-11-19,2025-11-28,h_6931,2024-12-31T15:35:49
1dd18129-4f2d-4d2d-9868-a39de49c963e,3BR Bungalow in St. Louis,Boutique-style decor with comfort-focused amenities.,Bungalow,3,3,224,1629,balcony;dryer;fireplace;heating;washer,St. Louis,MO,63510,USA,6,3.69,229,2025-11-10,2025-11-18,h_2768,2025-01-11T15:35:49
e8fb0b7a-d7f6-4d1c-bc90-9f3b2016da32,Studio in Cleveland,Spacious layout ideal for groups and longer stays.,Studio,0,1,70,383,balcony;elevator;gym;heating;pet_friendly;washer,Cleveland,OH,51692,USA,2,4.01,255,2025-11-14,2025-11-17,h_2874,2024-10-19T15:35:49
c3914a4b-c5b7-4bc3-a960-f66937af2b20,3BR Cottage in Elizabeth,Cozy retreat with fully equipped kitchen and workspace.,Cottage,3,3,320,1423,dryer;elevator;fireplace;garden;kitchen;pet_friendly;pool,Elizabeth,NJ,11176,USA,6,4.12,23,2025-11-19,2025-11-22,h_2494,2025-08-07T15:35:49
6a16126a-1226-4fbb-b00d-dc6314fcf5e1,Studio in Arlington,Quiet residential area with quick access to downtown attractions.,Studio,0,1,77,634,balcony;elevator;gym;pet_friendly;washer,Arlington,TX,81730,USA,2,4.1,442,2025-11-13,2025-11-26,h_1842,2025-04-25T15:35:49
1a5261cc-4ac5-4ec4-b4c0-0cf3aa34bf22,2BR Condo in Clarksville,Cozy retreat with fully equipped kitchen and workspace.,Condo,2,2,183,808,ac;balcony;elevator;garden;kitchen;washer,Clarksville,TN,38882,USA,4,4.67,329,2025-11-13,2025-11-23,h_1430,2024-11-12T15:35:49
d585dac8-bdcf-49b6-bc4f-ca377a70c83b,1BR Loft in Atlanta,Renovated interior with open-plan living and natural light.,Loft,1,1,98,508,elevator;fireplace;gym;kitchen;parking;pool;wifi,Atlanta,GA,30502,USA,2,3.73,281,2025-11-07,2025-11-15,h_8432,2025-03-29T15:35:49
